platform,发布时间,账号,认证,粉丝数,原创,情绪,总互动量,正文
微博,2026-06-20 09:15:00,热点追踪者,黄V,50000,是,负面,3500,突发！某公司产品出现严重质量问题，已有多位用户投诉
微博,2026-06-20 09:20:00,财经观察,蓝V,200000,是,中性,8200,受突发质量事件影响，相关公司股价早盘下跌3%
微信公众号,2026-06-20 09:45:00,深度调查,媒体认证,500000,是,负面,15000,【深度】我们采访了10位受害者，还原产品质量问题的全貌
抖音,2026-06-20 10:05:00,维权用户小王,未认证,2000,是,负面,680,实拍视频：我购买的产品使用三天就坏了，客服态度恶劣
知乎,2026-06-20 10:30:00,行业分析师,个人认证,80000,是,中性,2100,如何看待这次质量门事件？从供应链角度分析可能的原因
小红书,2026-06-20 11:00:00,避坑指南,未认证,15000,是,负面,4500,姐妹们避雷！这个牌子的产品真的不能买，我已经踩坑了
B站,2026-06-20 11:30:00,科技测评UP,个人认证,300000,是,负面,22000,【测评翻车】花5000块买的产品用了一周就坏，血泪教训！
微博,2026-06-20 13:00:00,公司官方账号,蓝V,1500000,是,中性,45000,关于近期产品质量问题的声明：我们正在全面调查
微博,2026-06-20 14:30:00,新闻快讯,媒体认证,5000000,是,负面,80000,最新：质量问题涉及多个批次，监管部门已介入调查
微信公众号,2026-06-20 15:00:00,消费者周刊,媒体认证,800000,是,负面,35000,消费者权益保护协会介入，提醒保留购买凭证
